date,positiveIncrease,totalTestResultsIncrease
20200229,18,42
20200301,27,88
20200302,40,198
20200303,41,244
20200304,133,1104
20200305,99,631
20200306,100,823
20200307,160,821
20200308,175,891
20200309,257,1791
20200310,335,2519
20200311,449,3870
20200312,606,5356
20200313,951,9269
20200314,808,4660
20200315,1115,7668
20200316,1494,18019
20200317,3550,17495
20200318,3089,25157
20200319,4651,27974
20200320,6147,36715
20200321,6793,45421
20200322,9125,45581
20200323,11439,58333
20200324,10769,69464
20200325,12908,84636
20200326,17720,102031
20200327,19128,102909
20200328,19692,107067
20200329,19581,87768
20200330,22042,118748
20200331,24853,112510
20200401,25791,108772
20200402,28060,119118
20200403,32076,133089
20200404,33212,229278
20200405,25500,119799
20200406,29002,152255
20200407,30885,154489
20200408,30595,147749
20200409,34495,171243
20200410,34383,158575
20200411,30506,137098
20200412,27763,138967
20200413,25200,134549
20200414,25709,152121
20200415,30309,137333
20200416,30979,164152
20200417,32013,159355
20200418,27906,146157
20200419,27387,154219
20200420,25899,146268
20200421,26361,153424
20200422,28955,324184
20200423,31807,193437
20200424,34238,236523
20200425,35871,276588
20200426,27311,206595
20200427,22700,196080
20200428,25282,207235
20200429,26725,239378
20200430,29549,233452
20200501,33029,296129
20200502,29148,247469
20200503,25707,236824
20200504,22646,232314
20200505,22446,272527
20200506,25096,245945
20200507,27560,302575
20200508,27647,298770
20200509,24788,292024
20200510,21391,266744
20200511,18239,383477
20200512,22701,309684
20200513,21272,320436
20200514,26798,365509
20200515,24684,359397
20200516,24678,362836
20200517,20034,371604
20200518,21016,356193
20200519,20899,402873
20200520,21318,408561
20200521,26566,462841
20200522,24555,410346
20200523,21531,390680
20200524,20047,381987
20200525,18691,423409
20200526,16830,307885
20200527,19437,309999
20200528,22630,436059
20200529,23574,488678
20200530,23682,426543
20200531,21558,396749
20200601,20482,414151
20200602,20110,420710
20200603,20392,468711
20200604,20880,462775
20200605,23400,508086
20200606,23064,544842
20200607,18740,423123
20200608,17209,397430
20200609,17312,421691
20200610,20894,429865
20200611,22153,460215
20200612,23597,623569
20200613,25376,496764
20200614,21399,485553
20200615,18630,434020
20200616,23497,466147
20200617,24001,487169
20200618,27746,519371
20200619,31471,579578
20200620,32294,565598
20200621,27928,523977
20200622,27281,471370
20200623,33447,502551
20200624,39072,524121
20200625,39640,642333
20200626,44543,610037
20200627,43164,598811
20200628,41570,577376
20200629,39813,655801
20200630,47864,628016
20200701,50981,640379
20200702,54085,662439
20200703,53948,707991
20200704,54338,631819
20200705,45612,678951
20200706,41918,513520
20200707,51728,635899
20200708,62672,638231
20200709,59157,706001
20200710,66846,809775
20200711,62895,700650
20200712,61312,763706
20200713,58091,694591
20200714,62729,765629
20200715,65797,768887
20200716,71036,827323
20200717,76842,834499
20200718,64951,756837
20200719,64260,779591
20200720,57041,711189
20200721,63930,750291
20200722,69333,796438
20200723,71552,841073
20200724,75236,926441
20200725,64741,780710
20200726,61000,841054
20200727,55332,762474
20200728,56448,737629
20200729,66963,856675
20200730,69418,807368
20200731,67623,725450
20200801,61101,735005
20200802,46812,690138
20200803,49713,742416
20200804,51866,711419
20200805,52324,695939
20200806,54187,745586
20200807,61345,777064
20200808,53712,675692
20200809,50627,717566
20200810,42089,735491
20200811,55701,754458
20200812,56134,495158
20200813,51759,895294
20200814,55636,854540
20200815,56149,749459
20200816,42487,783086
20200817,37880,663726
20200818,40795,657654
20200819,44955,689778
20200820,43758,677836
20200821,46561,743615
20200822,46236,756529
20200823,37566,615513
20200824,34643,682653
20200825,36379,634161
20200826,44053,675725
20200827,43984,742060
20200828,46548,772258
20200829,44501,764237
20200830,39501,739509
20200831,31406,680405
20200901,42433,698536
20200902,30603,645036
20200903,44714,723944
20200904,51591,902203
20200905,44905,805961
20200906,33117,735826
20200907,28682,588298
20200908,22223,508710
20200909,30983,584412
20200910,37581,614042
20200911,44927,765997
20200912,37295,763682
